model,paper_title,ground_truth,complete_model_output,extracted_label
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment as development and decision support tool for wastewater resource recovery technology,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Techno-economic and carbon footprint assessment of methyl crotonate and methyl acrylate production from wastewater-based polyhydroxybutyrate (PHB),N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Microalgae biomass production using wastewater: Treatment and costs: Scale-up considerations,N,N,N
Qwen/Qwen2.5-7B-Instruct,A circular economy strategy for valorizing industrial saline wastewaters: Techno-economics and environmental impacts,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental impacts of phosphorus recovery from municipal wastewater,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Pressure-driven membrane nutrient preconcentration for down-stream electrochemical struvite recovery,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,An environmental and economic assessment of bioplastic from urban biowaste. The example of polyhydroxyalkanoate,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Benchmarking sidestream shortcut nitrogen removal processes against nitrous oxide recovery from a life cycle perspective,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,"Environmental assessment of urine, black and grey water separation for resource recovery in a new district compared to centralized wastewater resources recovery plant",Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Bioextractive aquaculture as an alternative nutrient management strategy for water resource recovery facilities,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Evaluation of new alternatives in wastewater treatment plants based on dynamic modelling and life cycle assessment (DM-LCA),Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Integrating dairy manure for enhanced resource recovery at a WRRF: Environmental life cycle and pilot-scale analyses,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Assessment of Struvite as an Alternative Sources of Fertilizer-Phosphorus for Flood-Irrigated Rice,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Hybrid life cycle assessment of agro-industrial wastewater valorisation,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Control structure design for resource recovery using the enhanced biological phosphorus removal and recovery (EBP2R) activated sludge process,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Developing the nitrogen handprint approach to quantify the positive impacts of industrial symbiosis on nitrogen cycles,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Enhanced biomethane production with a low carbon footprint via anaerobic co-digestion of swine wastewater with rice husk,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,From wastewater treatment to water resource recovery: Environmental and economic impacts of full-scale implementation,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Microbial community-based polyhydroxyalkanoates (PHAs) production from wastewater: Techno-economic analysis and ex-ante environmental assessment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,"Graphene and biochar-based cathode catalysts for microbial fuel cell: Performance evaluation, economic comparison, environmental and future perspectives",N,N,N
Qwen/Qwen2.5-7B-Instruct,"Phosphorus recovery and iron, copper precipitation from swine wastewater via struvite crystallization using various magnesium compounds",Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life Cycle Assessment of Urine Diversion and Conversion to Fertilizer Products at the City Scale,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Incorporation of main line impact into life cycle assessment of nutrient recovery from reject water using novel membrane contactor technology,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Simultaneous recovery of nutrients and improving the biodegradability of waste algae hydrothermal liquid,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Assessment of environmental impacts and operational costs of the implementation of an innovative source-separated urine treatment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Is SCENA a good approach for side-stream integrated treatment from an environmental and economic point of view?,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle comparison of centralized wastewater treatment and urine source separation with struvite precipitation: Focus on urine nutrient management,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment and techno-economic analysis of nitrogen recovery by ammonia air-stripping from wastewater treatment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life Cycle Environmental Impacts of Wastewater-Derived Phosphorus Products: An Agricultural End-User Perspective,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment of management/valorisation practices for metal-sludge from treatment of acid mine drainage,N,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life cycle assessment of phosphorus alternatives for Swedish agriculture,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental sustainability of municipal wastewater treatment through struvite precipitation: Influence of operational parameters,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Life-cycle assessment and techno-economic evaluation of the value chain in nutrient recovery from wastewater treatment plants for agricultural application,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Techno-environmental assessment of integrating polyhydroxyalkanoate (PHA) production with services of municipal wastewater treatment,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Prospective Life Cycle Assessment and Cost Analysis of Novel Electrochemical Struvite Recovery in a U.S. Wastewater Treatment Plant,Y,Y,Y
Qwen/Qwen2.5-7B-Instruct,Environmental impacts of phosphorus recovery from a “product” Life Cycle Assessment perspective: Allocating burdens of wastewater treatment in the production of sludge-based phosphate fertilizers,Y,Y,Y
