pdf_filename,extracted_title,match_status,match_score,match_strategy,gt_title,gt_label,gt_year,gt_author,page_count,estimated_tokens,warnings
Bradford-Hartke - 2015 - Environmental Benefits and Burdens of Phosphorus Recovery from Municipal Wastewater.pdf,es505102v 1..12,UNMATCHED,35.71,partial_ratio,,,,,12,17491,
Garcia Gonzalez 2022 Life cycle assessment of a nanomaterial-based adsorbent.pdf,Life cycle assessment of a nanomaterial-based adsorbent developed on lab scale for cadmium removal: Comparison of the im,UNMATCHED,67.77,partial_ratio,,,,,8,13490,
Economic and environmental evaluation of nitrogen removal and recovery methods from wastewater.pdf,Bioresource Technology environmental evaluation wastewater,UNMATCHED,75.27,token_set_ratio,,,,,12,12086,
Control structure design for resource recovery using the enhanced biological phosphorus removal and recovery (EBP2R) activated sludge process.pdf,Engineering structure biological phosphorus activated,MATCHED,87.23,token_set_ratio,Control structure design for resource recovery using the enhanced biological phosphorus removal and recovery (EBP2R) activated sludge process,N,2016.0,Valverde-Pérez,11,14631,
Amann - 2018 - Environmental impacts of phosphorus recovery from municipal wastewater.pdf,Environmental impacts of phosphorus recovery from municipal wastewater,MATCHED,100.0,token_set_ratio,Environmental impacts of phosphorus recovery from municipal wastewater,Y,2018.0,Amann,13,17339,
Anari - 2023.pdf,Pressure-driven membrane nutrient preconcentration for down-stream electrochemical struvite recovery,MATCHED,100.0,token_set_ratio,Pressure-driven membrane nutrient preconcentration for down-stream electrochemical struvite recovery,Y,2023.0,Anari,13,17255,
1-s2.0-S0043135415302827-main.pdf,Life cycle assessment as development and decision support tool for wastewater resource recovery technology,MATCHED,100.0,token_set_ratio,Life cycle assessment as development and decision support tool for wastewater resource recovery technology,N,2016.0,Fang,12,17198,
1-s2.0-S0959652616310484-main.pdf,Techno-economic and carbon footprint assessment of methyl crotonate and methyl acrylate production from wastewater-based,MATCHED,100.0,token_set_ratio,Techno-economic and carbon footprint assessment of methyl crotonate and methyl acrylate production from wastewater-based polyhydroxybutyrate (PHB),N,2016.0,Fernández-Dacosta,11,13608,
Benchmarking sidestream shortcut nitrogen removal processes against nitrous oxide recovery from a life cycle perspective.pdf,Benchmarking sidestream shortcut nitrogen removal processes against nitrous oxide recovery from a life cycle perspective,MATCHED,100.0,token_set_ratio,Benchmarking sidestream shortcut nitrogen removal processes against nitrous oxide recovery from a life cycle perspective,N,2023.0,Zhou,11,13948,
Andreasi Bassi 2021.pdf,An environmental and economic assessment of bioplastic from urban biowaste. The example of polyhydroxyalkanoate,MATCHED,100.0,token_set_ratio,An environmental and economic assessment of bioplastic from urban biowaste. The example of polyhydroxyalkanoate,Y,2021.0,Andreasi Bassi,11,14663,
Bioextractive aquaculture as an alternative nutrient management strategy for water resource recovery facilities.pdf,Bioextractive aquaculture as an alternative nutrient management strategy for water resource recovery facilities,MATCHED,100.0,token_set_ratio,Bioextractive aquaculture as an alternative nutrient management strategy for water resource recovery facilities,N,2022.0,Wu,10,16387,
"Besson- 2021 - Environmental assessment of urine, black and grey water separation for resource recovery in a new district compared to centralized wastewater resources recovery plant.pdf","Environmental assessment of urine, black and grey water separation for resource recovery in a new district compared to c",MATCHED,100.0,token_set_ratio,"Environmental assessment of urine, black and grey water separation for resource recovery in a new district compared to centralized wastewater resources recovery plant",Y,2021.0,Besson,14,20685,
Bisinella de Faria 2015 Evaluation of new alternatives in wastewater treatment plants based on dynamic modelling and life cycle assessment.pdf,Evaluation of new alternatives in wastewater treatment plants based on dynamic modelling and life cycle assessment (DM-L,MATCHED,100.0,token_set_ratio,Evaluation of new alternatives in wastewater treatment plants based on dynamic modelling and life cycle assessment (DM-LCA),Y,2015.0,Bisinella de Faria,13,14149,
